page,section,affirmation_exacte,source,statut,note
country-germany.html,Hero subtitle,"A founding member of the European Lacrosse Federation in 1995, European Champions in 2001",Session research — ELF records,vérifié,
country-germany.html,Hero subtitle,"home to one of the continent's deepest Box traditions",Editorial,reformulé,Formulation éditoriale assumée — non chiffrée
country-germany.html,Hero subtitle,"Germany built a full lacrosse infrastructure decades before most of Europe took notice",Editorial,reformulé,Reformulé pour éviter le superlatif — acceptable
country-germany.html,Stats,"1995 — ELF Founding member",Session research,vérifié,
country-germany.html,Stats,"1998 — DLaxV established",Session research,vérifié,
country-germany.html,Stats,"2001 — ELF Championship Gold",Session research,vérifié,
country-germany.html,Timeline 1993,"First Club Founded — organised lacrosse begins in Germany",Session research,vérifié,Date 1993 issue des recherches session
country-germany.html,Timeline 1995,"Germany is one of six nations that establish the European Lacrosse Federation",Session research,vérifié,
country-germany.html,Timeline 1998,"Deutsche Lacrosse Verband (DLaxV) is founded as the national governing body",Session research,vérifié,
country-germany.html,Timeline 2001,"Germany defeats England 16-8 in the ELF final",Session research,vérifié,Score et adversaire vérifiés
country-germany.html,Timeline 1999·2000·2004,"ELF Silver Medals — Germany finishes runners-up at three European Championships",Session research,vérifié,
country-germany.html,National Teams,"Men's: ELF Championship Gold 2001 (beat England 16-8). Silver 1999 / 2000 / 2004. Bronze 2008.",Session research,vérifié,
country-germany.html,National Teams,"Women's programme active within DLaxV structure",Editorial,reformulé,Aucune date ou résultat spécifique invoqué
country-germany.html,CTA,dlaxv.de (lien officiel DLaxV),Connaissance source — non testé en live,à revalider,URL à confirmer accessible
country-germany.html,Coverage,"interview-jonas-weber-germany.html",Article de test FTL,reformulé,Placeholder structurel — pas source factuelle
country-italy.html,Hero subtitle,"8 active clubs, a structured youth pathway, and ELF Championship Silver in 2025",Décision utilisateur 2026-04-01,vérifié,Corrigé — 40+ → 8
country-italy.html,Hero subtitle,"Italy is no longer just a growing scene — it is one of Europe's most credible lacrosse nations",Editorial,reformulé,Formulation éditoriale — non classement officiel
country-italy.html,DNA Identity,"ELF Silver 2025 · Club-rich · Youth pipeline",Session research,vérifié,
country-italy.html,DNA Why,"ELF Championship Silver in 2025 (lost 9-8 to Israel in the final). FIGL runs 8 active clubs",Session research + décision utilisateur 2026-04-01,vérifié,Corrigé — 40+ retiré sur décision utilisateur
country-italy.html,Stats,"8 active clubs",Décision utilisateur 2026-04-01,vérifié,Remplace 40+ — chiffre exact confirmé par l'utilisateur
country-italy.html,Stats,"2007 — FIGL founded",Session research,vérifié,
country-italy.html,Stats,"2025 — ELF Championship Silver",Session research,vérifié,
country-italy.html,Timeline 2004,"Italy enters its first European Lacrosse Federation Championship",Session research,vérifié,
country-italy.html,Timeline 2007,"Federazione Italiana Giuoco Lacrosse is established on June 1, 2007 by Fabio Antonelli",Session research,vérifié,Date et fondateur vérifiés
country-italy.html,Timeline 2010s,"The Italian club scene grows steadily across multiple regions, building to 8 active clubs today",Décision utilisateur 2026-04-01,vérifié,Corrigé — 40+ → 8
country-italy.html,Timeline 2025,"Italy reaches the ELF final and loses 9-8 to Israel",Session research,vérifié,
